Genus_&_Specie,genero_etiqueta,Time,Location_encoded,Zone_encoded,Habitat_encoded,Incisor_Size_encoded,Jaw_Shape_encoded,Torus_Supraorbital_encoded,Prognathism_encoded,Foramen_encoded,Canine_Size_encoded,Canines_Shape_encoded,Tooth_Enamel_encoded,Tecno_encoded,tecno_type_mapping_encoded,Biped_encoded,foots_encoded,Diet_encoded,Sexual_Dimorphism_encoded,Hip_encoded,Vertical_Front_encoded,Anatomy_encoded,Migrated_encoded,genero_especie_num
Australopithecus Africanus,Australopithecus,3.40884791,0,2,0.0833333333333333,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,7
Homo Floresiensis,Otros,0.38878812,1,1,0.0416666666666666,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,19
Homo Georgicus,Homo temprano,2.27126574,1,3,0.3333333333333333,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,15
Homo Sapiens,Homo tardío,0.5371422,0,1,0.3333333333333333,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,24
"Homo Neanderthalensis
",Homo tardío,0.00324294,2,0,0.0833333333333333,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,23
Paranthropus Aethiopicus,Paranthropus,2.31294817,0,1,0.0416666666666666,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,10
Australopithecus Africanus,Australopithecus,3.52654429,0,2,0.0833333333333333,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,7
Homo Erectus,Homo temprano,1.9728913,1,3,0.3333333333333333,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,17
Homo Georgicus,Homo temprano,2.22105398,1,3,0.3333333333333333,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,15
Homo Antecesor,Homo temprano,0.95298473,2,3,0.3333333333333333,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,20
Homo Floresiensis,Otros,0.80279611,1,1,0.0416666666666666,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,19
Homo Georgicus,Homo temprano,1.99004117,1,3,0.3333333333333333,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,15
"Homo Neanderthalensis
",Homo tardío,0.79498414,2,0,0.0833333333333333,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,23
Homo Rudolfensis,Homo temprano,3.08107304,0,1,0.3333333333333333,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,14
Homo Ergaster,Homo temprano,1.90959509,0,1,0.3333333333333333,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,16
Paranthropus Aethiopicus,Paranthropus,3.05050842,0,1,0.0416666666666666,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,10
Australopithecus Sediba,Australopithecus,1.86615571,0,2,0.25,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,9
Australopithecus Anamensis,Australopithecus,4.52677609,0,1,0.0833333333333333,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,4
Australopithecus Afarensis,Australopithecus,4.51407212,0,1,0.25,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,5
Australopithecus Afarensis,Australopithecus,4.09039646,0,1,0.25,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,5
Australopithecus Anamensis,Australopithecus,4.43845484,0,1,0.0833333333333333,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,4
Homo Sapiens,Homo tardío,0.891361,0,1,0.3333333333333333,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,24
Homo Rudolfensis,Homo temprano,3.19807145,0,1,0.3333333333333333,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,14
Homo Erectus,Homo temprano,1.75111116,1,3,0.3333333333333333,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,17
Australopithecus Sediba,Australopithecus,2.40171494,0,2,0.25,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,9
Australopithecus Anamensis,Australopithecus,4.23771851,0,1,0.0833333333333333,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,4
"Homo Neanderthalensis
",Homo tardío,0.66371409,2,0,0.0833333333333333,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,23
Paranthropus Boisei,Paranthropus,2.06924921,0,1,0.0833333333333333,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,12
Homo Habilis,Homo temprano,2.96434942,0,1,0.3333333333333333,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,13
hominino Sahelanthropus tchadensis,Homininos,6.75385932,0,0,0.25,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1
Homo Floresiensis,Otros,0.28841891,1,1,0.0416666666666666,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,19
Australopithecus Africanus,Australopithecus,4.18063361,0,2,0.0833333333333333,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,7
Paranthropus Aethiopicus,Paranthropus,2.60739161,0,1,0.0416666666666666,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,10
Australopithecus Bahrelghazali,Australopithecus,3.74937048,0,0,0.25,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,6
Homo Naledi,Otros,0.47989144,0,2,0.0833333333333333,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,18
"Homo Neanderthalensis
",Homo tardío,0.44835718,2,0,0.0833333333333333,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,23
Homo Antecesor,Homo temprano,1.09619516,2,3,0.3333333333333333,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,20
Homo Rodhesiensis,Homo tardío,0.86243492,0,1,0.3333333333333333,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,22
Homo Habilis,Homo temprano,2.22904216,0,1,0.3333333333333333,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,13
Homo Floresiensis,Otros,0.36009669,1,1,0.0416666666666666,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,19
Australopithecus Bahrelghazali,Australopithecus,3.76782606,0,0,0.25,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,6
Australopithecus Garhi,Australopithecus,2.75514414,0,1,0.25,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,8
Homo Rudolfensis,Homo temprano,2.88387281,0,1,0.3333333333333333,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,14
Australopithecus Africanus,Australopithecus,4.01928228,0,2,0.0833333333333333,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,7
Homo Floresiensis,Otros,0.6682485,1,1,0.0416666666666666,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,19
Homo Floresiensis,Otros,0.95652951,1,1,0.0416666666666666,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,19
Homo Antecesor,Homo temprano,0.72841746,2,3,0.3333333333333333,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,20
Australopithecus Anamensis,Australopithecus,4.57105894,0,1,0.0833333333333333,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,4
Paranthropus Aethiopicus,Paranthropus,2.52460979,0,1,0.0416666666666666,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,10
Homo Ergaster,Homo temprano,1.88883355,0,1,0.3333333333333333,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,16
Australopithecus Anamensis,Australopithecus,4.38625141,0,1,0.0833333333333333,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,4
Homo Heidelbergensis,Homo temprano,0.93149922,2,0,0.0833333333333333,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,21
Paranthropus Robustus,Paranthropus,2.22513302,0,2,0.0833333333333333,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,11
Australopithecus Anamensis,Australopithecus,4.03697909,0,1,0.0833333333333333,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,4
Homo Antecesor,Homo temprano,0.98742086,2,3,0.3333333333333333,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,20
Homo Ergaster,Homo temprano,1.71068659,0,1,0.3333333333333333,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,16
Australopithecus Bahrelghazali,Australopithecus,4.12848123,0,0,0.25,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,6
Homo Erectus,Homo temprano,1.58581689,1,3,0.3333333333333333,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,17
Homo Georgicus,Homo temprano,1.92693336,1,3,0.3333333333333333,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,15
Paranthropus Boisei,Paranthropus,2.94522174,0,1,0.0833333333333333,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,12
Australopithecus Bahrelghazali,Australopithecus,3.39087067,0,0,0.25,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,6
Australopithecus Sediba,Australopithecus,2.55333377,0,2,0.25,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,9
hominino Sahelanthropus tchadensis,Homininos,6.92712985,0,0,0.25,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1
Homo Georgicus,Homo temprano,1.87366729,1,3,0.3333333333333333,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,15
Australopithecus Afarensis,Australopithecus,4.09911337,0,1,0.25,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,5
Homo Habilis,Homo temprano,2.39927957,0,1,0.3333333333333333,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,13
"Homo Neanderthalensis
",Homo tardío,0.67034654,2,0,0.0833333333333333,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,23
hominino Sahelanthropus tchadensis,Homininos,7.63918808,0,0,0.25,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1
Australopithecus Africanus,Australopithecus,3.99210693,0,2,0.0833333333333333,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,7
Paranthropus Aethiopicus,Paranthropus,2.93830377,0,1,0.0416666666666666,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,10
"Homo Neanderthalensis
",Homo tardío,0.21307509,2,0,0.0833333333333333,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,23
hominino Ardipithecus ramidus / kabadda,Homininos,3.89621075,0,1,0.25,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,2
hominino Ardipithecus ramidus / kabadda,Homininos,4.56880866,0,1,0.25,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,2
Homo Ergaster,Homo temprano,1.58263456,0,1,0.3333333333333333,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,16
Homo Erectus,Homo temprano,1.87411524,1,3,0.3333333333333333,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,17
Homo Habilis,Homo temprano,2.32673039,0,1,0.3333333333333333,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,13
Homo Georgicus,Homo temprano,2.23581433,1,3,0.3333333333333333,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,15
Paranthropus Robustus,Paranthropus,2.07197422,0,2,0.0833333333333333,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,11
Homo Sapiens,Homo tardío,0.53536473,0,1,0.3333333333333333,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,24
Homo Rudolfensis,Homo temprano,2.84310702,0,1,0.3333333333333333,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,14
Paranthropus Boisei,Paranthropus,2.32088049,0,1,0.0833333333333333,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,12
Australopithecus Bahrelghazali,Australopithecus,4.02517069,0,0,0.25,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,6
Homo Naledi,Otros,0.09866252,0,2,0.0833333333333333,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,18
Australopithecus Garhi,Australopithecus,2.22151621,0,1,0.25,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,8
Homo Sapiens,Homo tardío,0.39300154,0,1,0.3333333333333333,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,24
Homo Georgicus,Homo temprano,2.32460086,1,3,0.3333333333333333,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,15
Homo Habilis,Homo temprano,2.66951752,0,1,0.3333333333333333,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,13
Homo Floresiensis,Otros,0.96413672,1,1,0.0416666666666666,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,19
hominino Orrorin tugenencin,Homininos,5.94468204,0,1,0.0833333333333333,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
Homo Georgicus,Homo temprano,2.1359213,1,3,0.3333333333333333,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,15
Homo Georgicus,Homo temprano,1.57237936,1,3,0.3333333333333333,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,15
Homo Heidelbergensis,Homo temprano,0.44676114,2,0,0.0833333333333333,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,21
Australopithecus Anamensis,Australopithecus,4.7267247,0,1,0.0833333333333333,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,4
Paranthropus Aethiopicus,Paranthropus,2.63173055,0,1,0.0416666666666666,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,10
Australopithecus Afarensis,Australopithecus,3.60677004,0,1,0.25,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,5
Homo Floresiensis,Otros,0.99054334,1,1,0.0416666666666666,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,19
Homo Floresiensis,Otros,0.28107427,1,1,0.0416666666666666,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,19
Australopithecus Garhi,Australopithecus,2.66109083,0,1,0.25,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,8
Australopithecus Garhi,Australopithecus,2.5583323,0,1,0.25,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,8
Australopithecus Africanus,Australopithecus,3.60221753,0,2,0.0833333333333333,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,7
Paranthropus Aethiopicus,Paranthropus,2.95256613,0,1,0.0416666666666666,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,10
Homo Erectus,Homo temprano,1.95200739,1,3,0.3333333333333333,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,17
Australopithecus Anamensis,Australopithecus,4.78024218,0,1,0.0833333333333333,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,4
Homo Rodhesiensis,Homo tardío,1.29863027,0,1,0.3333333333333333,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,22
Homo Erectus,Homo temprano,1.869062,1,3,0.3333333333333333,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,17
Paranthropus Aethiopicus,Paranthropus,3.02570307,0,1,0.0416666666666666,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,10
Australopithecus Garhi,Australopithecus,3.19193761,0,1,0.25,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,8
Homo Naledi,Otros,0.52024735,0,2,0.0833333333333333,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,18
Homo Sapiens,Homo tardío,0.8705269,0,1,0.3333333333333333,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,24
Paranthropus Robustus,Paranthropus,2.24856066,0,2,0.0833333333333333,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,11
Paranthropus Boisei,Paranthropus,2.7344147,0,1,0.0833333333333333,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,12
Australopithecus Africanus,Australopithecus,3.39178801,0,2,0.0833333333333333,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,7
Australopithecus Afarensis,Australopithecus,4.57950059,0,1,0.25,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,5
"Homo Neanderthalensis
",Homo tardío,0.5395249,2,0,0.0833333333333333,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,23
Australopithecus Bahrelghazali,Australopithecus,4.0543226,0,0,0.25,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,6
hominino Orrorin tugenencin,Homininos,5.89329167,0,1,0.0833333333333333,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
Paranthropus Aethiopicus,Paranthropus,2.3164694,0,1,0.0416666666666666,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,10
Paranthropus Boisei,Paranthropus,2.04535107,0,1,0.0833333333333333,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,12
hominino Ardipithecus ramidus / kabadda,Homininos,4.67443171,0,1,0.25,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,2
Paranthropus Boisei,Paranthropus,2.92562839,0,1,0.0833333333333333,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,12
Homo Habilis,Homo temprano,2.68492172,0,1,0.3333333333333333,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,13
Homo Floresiensis,Otros,0.66488607,1,1,0.0416666666666666,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,19
Homo Erectus,Homo temprano,1.45778089,1,3,0.3333333333333333,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,17
Homo Antecesor,Homo temprano,1.2701544,2,3,0.3333333333333333,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,20
Paranthropus Robustus,Paranthropus,2.30421983,0,2,0.0833333333333333,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,11
Homo Ergaster,Homo temprano,1.84092312,0,1,0.3333333333333333,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,16
Homo Floresiensis,Otros,0.09561328,1,1,0.0416666666666666,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,19
"Homo Neanderthalensis
",Homo tardío,0.75830562,2,0,0.0833333333333333,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,23
Homo Antecesor,Homo temprano,0.90777403,2,3,0.3333333333333333,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,20
Homo Ergaster,Homo temprano,1.78155952,0,1,0.3333333333333333,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,16
